county,year,number_sales,sales_percentage,population,pop_percentage
San Joaquin,2018,1160,0.75,3293350,8.34
San Joaquin,2016,433,0.6,3263517,8.34
San Luis Obispo,2016,265,0.37,863546,2.21
San Luis Obispo,2020,785,0.55,870985,2.2
San Luis Obispo,2019,641,0.44,872205,2.21
San Luis Obispo,2018,740,0.48,872338,2.21
San Luis Obispo,2021,1343,0.54,855550,2.17
San Luis Obispo,2015,271,0.42,857037,2.2
San Luis Obispo,2017,372,0.4,868879,2.21
San Mateo,2016,3001,4.14,739814,1.89
San Mateo,2021,8250,3.34,786700,2
San Mateo,2020,5489,3.82,780676,1.97
San Mateo,2019,6042,4.13,771083,1.95
San Mateo,2018,6827,4.41,759753,1.92
San Mateo,2015,2827,4.42,729411,1.87
San Mateo,2017,3416,3.68,750306,1.91
Santa Barbara,2019,946,0.65,282617,0.71
Santa Barbara,2020,1287,0.9,282996,0.72
Santa Barbara,2021,1948,0.79,278607,0.71
Santa Barbara,2015,347,0.54,279800,0.72
Santa Barbara,2017,655,0.71,282103,0.72
Santa Barbara,2018,1081,0.7,282952,0.72
Santa Barbara,2016,510,0.7,281681,0.72
Santa Clara,2015,9821,15.35,761484,1.96
Santa Clara,2016,10482,14.47,764070,1.95
Santa Clara,2018,22311,14.41,766711,1.94
Santa Clara,2019,19906,13.61,766312,1.94
Santa Clara,2021,22826,9.23,756655,1.92
Santa Clara,2020,15281,10.63,763497,1.93
Santa Clara,2017,12688,13.68,765601,1.95
Santa Cruz,2021,1508,0.61,443121,1.13
Santa Cruz,2016,573,0.79,444277,1.14
Santa Cruz,2019,964,0.66,448815,1.14
Santa Cruz,2017,682,0.74,445801,1.13
Santa Cruz,2015,591,0.92,442188,1.14
Santa Cruz,2020,1006,0.7,448659,1.13
Santa Cruz,2018,1088,0.7,447666,1.13
Shasta,2015,36,0.06,1914457,4.92
Shasta,2016,49,0.07,1925914,4.92
Shasta,2021,359,0.15,1913113,4.86
Shasta,2020,151,0.11,1933516,4.89
Shasta,2018,127,0.08,1937985,4.91
Shasta,2019,104,0.07,1936521,4.9
Shasta,2017,67,0.07,1932947,4.91
Sierra,2015,1,0,274762,0.71
Sierra,2021,1,0,267551,0.68
Sierra,2020,3,0,272360,0.69
Siskiyou,2020,14,0.01,181881,0.46
Siskiyou,2021,37,0.01,182072,0.46
Siskiyou,2017,14,0.02,181095,0.46
Siskiyou,2015,7,0.01,180812,0.46
Siskiyou,2016,6,0.01,180287,0.46
Siskiyou,2018,14,0.01,181472,0.46
Siskiyou,2019,11,0.01,181387,0.46
Solano,2017,528,0.57,3233,0.01
Solano,2020,960,0.67,3233,0.01
Solano,2021,2082,0.84,3217,0.01
Solano,2016,389,0.54,3220,0.01
Solano,2018,972,0.63,3232,0.01
Solano,2015,445,0.7,3213,0.01
Solano,2019,986,0.67,3233,0.01
Sonoma,2021,2701,1.09,43790,0.11
Sonoma,2017,1595,1.72,44390,0.11
Sonoma,2019,1629,1.11,44193,0.11
Sonoma,2016,997,1.38,44554,0.11
Sonoma,2018,2073,1.34,44305,0.11
Sonoma,2020,1609,1.12,44091,0.11
Sonoma,2015,957,1.5,44655,0.11
Stanislaus,2017,299,0.32,445721,1.13
Stanislaus,2019,440,0.3,451701,1.14
Stanislaus,2018,432,0.28,449091,1.14
Stanislaus,2020,531,0.37,453405,1.15
Stanislaus,2021,1143,0.46,452532,1.15
Stanislaus,2016,252,0.35,441224,1.13
Stanislaus,2015,205,0.32,435902,1.12
Sutter,2017,30,0.03,501111,1.27
Sutter,2020,86,0.06,489880,1.24
Sutter,2016,14,0.02,501989,1.28
Sutter,2015,23,0.04,500553,1.29
Sutter,2019,75,0.05,492668,1.25
Sutter,2021,222,0.09,485110,1.23
Sutter,2018,55,0.04,496869,1.26
Tehama,2021,73,0.03,553138,1.41
Tehama,2016,5,0.01,540856,1.38
Tehama,2017,7,0.01,546499,1.39
Tehama,2018,13,0.01,549544,1.39
Tehama,2015,4,0.01,535436,1.38
Tehama,2019,26,0.02,551566,1.4
Tehama,2020,31,0.02,553995,1.4
Trinity,2021,8,0,101478,0.26
Trinity,2017,3,0,97771,0.25
Trinity,2019,5,0,101046,0.26
Trinity,2018,4,0,99334,0.25
Trinity,2015,4,0.01,95844,0.25
Trinity,2016,3,0,96517,0.25
Trinity,2020,8,0.01,100751,0.25
Tulare,2015,66,0.1,63509,0.16
Tulare,2017,251,0.27,64141,0.16
Tulare,2019,226,0.15,65312,0.17
Tulare,2021,608,0.25,65873,0.17
Tulare,2016,93,0.13,63999,0.16
Tulare,2020,290,0.2,65643,0.17
Tulare,2018,216,0.14,64568,0.16
Tuolumne,2016,12,0.02,14840,0.04
Tuolumne,2015,16,0.03,14228,0.04
Tuolumne,2019,45,0.03,16054,0.04
Tuolumne,2021,91,0.04,16047,0.04
Tuolumne,2018,38,0.02,15754,0.04
Tuolumne,2020,50,0.03,16135,0.04
Tuolumne,2017,22,0.02,15498,0.04
Ventura,2018,3096,2,467656,1.18
Ventura,2021,5352,2.16,474998,1.21
Ventura,2020,2965,2.06,473482,1.2
Ventura,2019,2916,1.99,470619,1.19
Ventura,2015,1169,1.83,459935,1.18
Ventura,2016,1402,1.93,462223,1.18
Ventura,2017,1831,1.97,465343,1.18
Yolo,2015,222,0.35,55104,0.14
Yolo,2021,976,0.39,54811,0.14
Yolo,2019,600,0.41,55316,0.14
Yolo,2016,225,0.31,55162,0.14
Yolo,2018,638,0.41,55311,0.14
Yolo,2020,545,0.38,55500,0.14
Yolo,2017,331,0.36,55032,0.14
Yuba,2017,21,0.02,78181,0.2
Yuba,2021,125,0.05,82091,0.21
Yuba,2015,13,0.02,75748,0.19
Yuba,2019,59,0.04,80250,0.2
Yuba,2016,15,0.02,76782,0.2
Yuba,2020,63,0.04,81468,0.21
Yuba,2018,41,0.03,79043,0.2
,,,,91602,0.23
,,,,28917,0.07
,,,,179702,0.45
,,,,552878,1.4
