county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max
Los Angeles,2020,38249,26.6,10012474,25.32,20,9,29,10511,27000,37511
Los Angeles,2021,67296,27.21,9944953,25.26,20,9,29,10511,27000,37511
Los Angeles,2022,43684,27.51,10014009,25.33,20,7,27,10511,11500,22011
Madera,2015,53,0.08,152897,0.39,0,6,6,0,25500,25500
Madera,2016,47,0.06,153136,0.39,0,6,6,0,25500,25500
Madera,2017,89,0.1,154238,0.39,0,6,6,0,25500,25500
Madera,2018,81,0.05,155476,0.39,0,6,6,0,25500,25500
Madera,2019,87,0.06,155291,0.39,6,6,12,9500,25500,35000
Madera,2020,106,0.07,156519,0.4,6,9,15,9500,27000,36500
Madera,2021,272,0.11,156654,0.4,6,9,15,9500,27000,36500
Madera,2022,167,0.11,156255,0.4,6,7,13,9500,11500,21000
Marin,2015,1105,1.73,263964,0.68,2,6,8,5001,25500,30501
Marin,2016,1139,1.57,265181,0.68,2,6,8,5001,25500,30501
Marin,2017,1468,1.58,264753,0.67,3,6,9,8001,25500,33501
Marin,2018,2228,1.44,264944,0.67,4,6,10,11501,25500,37001
Marin,2019,2132,1.46,263917,0.67,6,6,12,17508,25500,43008
Marin,2020,2260,1.57,262410,0.66,6,9,15,17508,27000,44508
Marin,2021,3502,1.42,260416,0.66,6,9,15,17508,27000,44508
Marin,2022,1934,1.22,262321,0.66,6,7,13,17508,11500,29008
Mariposa,2015,4,0.01,152897,0.39,0,6,6,0,25500,25500
Mariposa,2016,9,0.01,153136,0.39,0,6,6,0,25500,25500
Mariposa,2017,5,0.01,154238,0.39,0,6,6,0,25500,25500
Mariposa,2018,27,0.02,155476,0.39,0,6,6,0,25500,25500
Mariposa,2019,15,0.01,155291,0.39,0,6,6,0,25500,25500
Mariposa,2020,14,0.01,156519,0.4,0,9,9,0,27000,27000
Mariposa,2021,30,0.01,156654,0.4,0,9,9,0,27000,27000
Mariposa,2022,14,0.01,17131,0.04,0,7,7,0,11500,11500
Mendocino,2015,96,0.15,263964,0.68,0,6,6,0,25500,25500
