county,year,population,percent_change,number_change,pop_percentage
Sierra,2017,274739,-0.26,-713,0.7
Sierra,2018,273527,-0.44,-1212,0.69
Sierra,2019,272182,-0.49,-1345,0.69
Sierra,2020,272360,0.07,178,0.69
Sierra,2021,267551,-1.77,-4809,0.68
Sierra,2022,3236,-81.68,-264315,0.01
Siskiyou,2015,180812,-0.13,-242,0.46
Siskiyou,2016,180287,-0.29,-525,0.46
Siskiyou,2017,181095,0.45,808,0.46
Siskiyou,2018,181472,0.21,377,0.46
Siskiyou,2019,181387,-0.05,-85,0.46
Siskiyou,2020,181881,0.27,494,0.46
Siskiyou,2021,182072,0.11,191,0.46
Siskiyou,2022,44076,-3.13,-137996,0.11
Solano,2015,3213,-0.22,-7,0.01
Solano,2016,3220,0.22,7,0.01
Solano,2017,3233,0.4,13,0.01
Solano,2018,3232,-0.03,-1,0.01
Solano,2019,3233,0.03,1,0.01
Solano,2020,3233,0.0,0,0.01
Solano,2021,3217,-0.49,-16,0.01
Solano,2022,453491,0.99,450274,1.15
Sonoma,2015,44655,-0.33,-146,0.11
Sonoma,2016,44554,-0.23,-101,0.11
Sonoma,2017,44390,-0.37,-164,0.11
Sonoma,2018,44305,-0.19,-85,0.11
Sonoma,2019,44193,-0.25,-112,0.11
Sonoma,2020,44091,-0.23,-102,0.11
Sonoma,2021,43790,-0.68,-301,0.11
Sonoma,2022,488863,0.91,445073,1.24
Stanislaus,2015,435902,1.1,4749,1.12
Stanislaus,2016,441224,1.22,5322,1.13
Stanislaus,2017,445721,1.02,4497,1.13
Stanislaus,2018,449091,0.76,3370,1.14
Stanislaus,2019,451701,0.58,2610,1.14
Stanislaus,2020,453405,0.38,1704,1.15
Stanislaus,2021,452532,-0.19,-873,1.15
Stanislaus,2022,552878,0.18,100346,1.4
Sutter,2015,500553,0.48,2402,1.29
Sutter,2016,501989,0.29,1436,1.28
Sutter,2017,501111,-0.17,-878,1.27
Sutter,2018,496869,-0.85,-4242,1.26
Sutter,2019,492668,-0.85,-4201,1.25
Sutter,2020,489880,-0.57,-2788,1.24
Sutter,2021,485110,-0.97,-4770,1.23
Sutter,2022,99633,-3.87,-385477,0.25
Tehama,2015,535436,0.96,5104,1.38
Tehama,2016,540856,1.01,5420,1.38
Tehama,2017,546499,1.04,5643,1.39
Tehama,2018,549544,0.56,3045,1.39
Tehama,2019,551566,0.37,2022,1.4
Tehama,2020,553995,0.44,2429,1.4
Tehama,2021,553138,-0.15,-857,1.41
Tehama,2022,65829,-7.4,-487309,0.17
Trinity,2015,95844,0.66,627,0.25
Trinity,2016,96517,0.7,673,0.25
Trinity,2017,97771,1.3,1254,0.25
Trinity,2018,99334,1.6,1563,0.25
Trinity,2019,101046,1.72,1712,0.26
Trinity,2020,100751,-0.29,-295,0.25
Trinity,2021,101478,0.72,727,0.26
Trinity,2022,16112,-5.3,-85366,0.04
Tulare,2015,63509,0.55,348,0.16
Tulare,2016,63999,0.77,490,0.16
Tulare,2017,64141,0.22,142,0.16
Tulare,2018,64568,0.67,427,0.16
Tulare,2019,65312,1.15,744,0.17
Tulare,2020,65643,0.51,331,0.17
Tulare,2021,65873,0.35,230,0.17
Tulare,2022,473117,0.86,407244,1.2
Tuolumne,2015,14228,0.54,77,0.04
Tuolumne,2016,14840,4.3,612,0.04
Tuolumne,2017,15498,4.43,658,0.04
Tuolumne,2018,15754,1.65,256,0.04
Tuolumne,2019,16054,1.9,300,0.04
Tuolumne,2020,16135,0.5,81,0.04
Tuolumne,2021,16047,-0.55,-88,0.04
Tuolumne,2022,55620,0.71,39573,0.14
Ventura,2015,459935,0.74,3377,1.18
Ventura,2016,462223,0.5,2288,1.18
Ventura,2017,465343,0.67,3120,1.18
Ventura,2018,467656,0.5,2313,1.18
Ventura,2019,470619,0.63,2963,1.19
Ventura,2020,473482,0.61,2863,1.2
Ventura,2021,474998,0.32,1516,1.21
Ventura,2022,843843,0.44,368845,2.13
Yolo,2015,55104,0.02,9,0.14
Yolo,2016,55162,0.11,58,0.14
Yolo,2017,55032,-0.24,-130,0.14
Yolo,2018,55311,0.51,279,0.14
Yolo,2019,55316,0.01,5,0.14
Yolo,2020,55500,0.33,184,0.14
Yolo,2021,54811,-1.24,-689,0.14
Yolo,2022,216403,0.75,161592,0.55
Yuba,2015,75748,1.16,871,0.19
Yuba,2016,76782,1.37,1034,0.2
Yuba,2017,78181,1.82,1399,0.2
Yuba,2018,79043,1.1,862,0.2
Yuba,2019,80250,1.53,1207,0.2
Yuba,2020,81468,1.52,1218,0.21
Yuba,2021,82091,0.76,623,0.21
Yuba,2022,81575,-0.01,-516,0.21
