county,year,number_sales,sales_percentage
Siskiyou,2015,7,0.01
Siskiyou,2016,6,0.01
Siskiyou,2017,14,0.02
Siskiyou,2018,14,0.01
Siskiyou,2019,11,0.01
Siskiyou,2020,14,0.01
Siskiyou,2021,37,0.01
Siskiyou,2022,24,0.02
Solano,2015,445,0.7
Solano,2016,389,0.54
Solano,2017,528,0.57
Solano,2018,972,0.63
Solano,2019,986,0.67
Solano,2020,960,0.67
Solano,2021,2082,0.84
Solano,2022,1175,0.74
Sonoma,2015,957,1.5
Sonoma,2016,997,1.38
Sonoma,2017,1595,1.72
Sonoma,2018,2073,1.34
Sonoma,2019,1629,1.11
Sonoma,2020,1609,1.12
Sonoma,2021,2701,1.09
Sonoma,2022,1465,0.92
Stanislaus,2015,205,0.32
Stanislaus,2016,252,0.35
Stanislaus,2017,299,0.32
Stanislaus,2018,432,0.28
Stanislaus,2019,440,0.3
Stanislaus,2020,531,0.37
Stanislaus,2021,1143,0.46
Stanislaus,2022,790,0.5
Sutter,2015,23,0.04
Sutter,2016,14,0.02
Sutter,2017,30,0.03
Sutter,2018,55,0.04
Sutter,2019,75,0.05
Sutter,2020,86,0.06
Sutter,2021,222,0.09
Sutter,2022,149,0.09
Tehama,2015,4,0.01
Tehama,2016,5,0.01
Tehama,2017,7,0.01
Tehama,2018,13,0.01
Tehama,2019,26,0.02
Tehama,2020,31,0.02
Tehama,2021,73,0.03
Tehama,2022,32,0.02
Trinity,2015,4,0.01
Trinity,2016,3,0
Trinity,2017,3,0
Trinity,2018,4,0
Trinity,2019,5,0
Trinity,2020,8,0.01
Trinity,2021,8,0
Trinity,2022,7,0
Tulare,2015,66,0.1
Tulare,2016,93,0.13
Tulare,2017,251,0.27
Tulare,2018,216,0.14
Tulare,2019,226,0.15
Tulare,2020,290,0.2
Tulare,2021,608,0.25
Tulare,2022,384,0.24
Tuolumne,2015,16,0.03
Tuolumne,2016,12,0.02
Tuolumne,2017,22,0.02
Tuolumne,2018,38,0.02
Tuolumne,2019,45,0.03
Tuolumne,2020,50,0.03
Tuolumne,2021,91,0.04
Tuolumne,2022,60,0.04
Ventura,2015,1169,1.83
Ventura,2016,1402,1.93
Ventura,2017,1831,1.97
Ventura,2018,3096,2
Ventura,2019,2916,1.99
Ventura,2020,2965,2.06
Ventura,2021,5352,2.16
Ventura,2022,3631,2.29
Yolo,2015,222,0.35
Yolo,2016,225,0.31
Yolo,2017,331,0.36
Yolo,2018,638,0.41
Yolo,2019,600,0.41
Yolo,2020,545,0.38
Yolo,2021,976,0.39
Yolo,2022,587,0.37
Yuba,2015,13,0.02
Yuba,2016,15,0.02
Yuba,2017,21,0.02
Yuba,2018,41,0.03
Yuba,2019,59,0.04
Yuba,2020,63,0.04
Yuba,2021,125,0.05
Yuba,2022,95,0.06
