County,Incentive Type,EV Type,Max Amount,Requirements,Low Income,One-time Use,Program Name or Provider,Start Date,End Date,Customer
San Joaquin,Rebate,BEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
San Joaquin,Rebate,FCEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
San Joaquin,Rebate,PHEV,2500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
San Joaquin,Rebate,PZEV,2000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
San Joaquin,Rebate,SULEV,1500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
San Joaquin,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
San Mateo,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
San Mateo,Grant,Any,5000,Yes,Yes,Yes,CHDC Vehicle Financing,,,
San Mateo,Toll discount,CAV,7,Yes,No,No,California Air Resources Board,1/1/2019,,
San Mateo,Rebate,PHEV,700,No,No,Yes,Peninsula Clean Energy,8/1/2021,,
San Mateo,Rebate,PHEV,5000,Yes,Yes,Yes,Peninsula Clean Energy,3/1/2019,,
San Mateo,Rebate,BEV,1000,No,No,Yes,Peninsula Clean Energy,8/1/2021,,
San Mateo,Rebate,BEV,5000,Yes,Yes,Yes,Peninsula Clean Energy,3/1/2019,,
Santa Clara,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Santa Clara,Grant,Any,5000,Yes,Yes,Yes,CHDC Vehicle Financing,,,
Santa Clara,Toll discount,CAV,7,Yes,No,No,California Air Resources Board,1/1/2019,,
Santa Clara,Rebate,EV charger,550,Yes,No,No,Silicon Valley Power,1/1/2019,,
Santa Cruz,Grant,Any,5000,Yes,Yes,Yes,CHDC Vehicle Financing,,,
Shasta ,Rebate,BEV,1000,Yes,No,No,Redding Electric Utility,,,
Shasta ,Rebate,PHEV,1000,Yes,No,No,Redding Electric Utility,,,
Shasta ,Rebate,EV charger,1500,Yes,No,No,Redding Electric Utility,,,
Sierra,Rebate,BEV,500,Yes,No,Yes,Plumas-Sierra Rural Electric Cooperative,,,
Sierra,Rebate,PHEV,500,Yes,No,Yes,Plumas-Sierra Rural Electric Cooperative,,,
Solano,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Solano,Grant,Any,5000,Yes,Yes,Yes,CHDC Vehicle Financing,,,
Solano,Toll discount,CAV,7,Yes,No,No,California Air Resources Board,1/1/2019,,
Solano,Rebate,EV charger,600,Yes,No,Yes,Island Energy,7/1/2015,,
Sonoma,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Sonoma,Grant,Any,5000,Yes,Yes,Yes,CHDC Vehicle Financing,,,
Sonoma,Rebate,EV charger,1000,Yes,No,Yes,Sonoma Clean Power,8/1/2017,,
Sonoma,Toll discount,CAV,7,Yes,No,No,California Air Resources Board,1/1/2019,,
Stanislaus,Rebate,BEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
