Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles,ZIP,Fuel Type
2015,Kings,PHEV,BMW,i3 REx,1,91406,Electric
2015,Kings,PHEV,Chevrolet,Volt,5,91423,Electric
2015,Kings,PHEV,Ford,Fusion Energi,4,91426,Electric
2015,Kings,PHEV,Toyota,Prius PHEV,4,91436,Electric
2015,Lake,Electric,Chevrolet,Spark EV,1,91501,Electric
2015,Lake,Electric,FIAT,500e,8,91504,Electric
2015,Lake,Electric,Tesla,Model S,2,91505,Electric
2015,Lake,Electric,Volkswagen,e-Golf,1,91506,Electric
2015,Lake,PHEV,BMW,i3 REx,1,91601,Electric
2015,Lake,PHEV,Chevrolet,Volt,2,91602,Electric
2015,Lake,PHEV,Ford,C-MAX Energi,2,91604,Electric
2015,Lake,PHEV,Ford,Fusion Energi,1,91605,Electric
2015,Lake,PHEV,Honda,Accord PHEV,2,91606,Electric
2015,Lake,PHEV,Toyota,Prius PHEV,7,91607,Electric
2015,Lassen,PHEV,Chevrolet,Volt,2,91701,Electric
2015,Lassen,PHEV,Toyota,Prius PHEV,1,91706,Electric
2015,Los Angeles,Electric,BMW,i3,451,91708,Electric
2015,Los Angeles,Electric,Chevrolet,Spark EV,390,91709,Electric
2015,Los Angeles,Electric,FIAT,500e,2932,91710,Electric
2015,Los Angeles,Electric,Ford,Focus,155,91711,Electric
2015,Los Angeles,Electric,Honda,Fit EV,8,91724,Electric
2015,Los Angeles,Electric,Kia,Soul EV,190,91729,Electric
2015,Los Angeles,Electric,Mercedes-Benz,B-Class,449,91730,Electric
2015,Los Angeles,Electric,Mitsubishi,i-MiEV,7,91731,Electric
2015,Los Angeles,Electric,Nissan,Leaf,685,91732,Electric
2015,Los Angeles,Electric,Smart,Fortwo Electric Drive,168,91733,Electric
2015,Los Angeles,Electric,Tesla,Model S,3196,91737,Electric
2015,Los Angeles,Electric,Tesla,Model X,1,91739,Electric
2015,Los Angeles,Electric,Toyota,RAV4 EV,18,91740,Electric
