Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles,ZIP,Fuel Type
2015,Kings,PHEV,BMW,i3 REx,1,91406,BEV
2015,Kings,PHEV,Chevrolet,Volt,5,91423,BEV
2015,Kings,PHEV,Ford,Fusion Energi,4,91426,BEV
2015,Kings,PHEV,Toyota,Prius PHEV,4,91436,BEV
2015,Lake,BEV,Chevrolet,Spark EV,1,91501,BEV
2015,Lake,BEV,FIAT,500e,8,91504,BEV
2015,Lake,BEV,Tesla,Model S,2,91505,BEV
2015,Lake,BEV,Volkswagen,e-Golf,1,91506,BEV
2015,Lake,PHEV,BMW,i3 REx,1,91601,BEV
2015,Lake,PHEV,Chevrolet,Volt,2,91602,BEV
2015,Lake,PHEV,Ford,C-MAX Energi,2,91604,BEV
2015,Lake,PHEV,Ford,Fusion Energi,1,91605,BEV
2015,Lake,PHEV,Honda,Accord PHEV,2,91606,BEV
2015,Lake,PHEV,Toyota,Prius PHEV,7,91607,BEV
2015,Lassen,PHEV,Chevrolet,Volt,2,91701,BEV
2015,Lassen,PHEV,Toyota,Prius PHEV,1,91706,BEV
2015,Los Angeles,BEV,BMW,i3,451,91708,BEV
2015,Los Angeles,BEV,Chevrolet,Spark EV,390,91709,BEV
2015,Los Angeles,BEV,FIAT,500e,2932,91710,BEV
2015,Los Angeles,BEV,Ford,Focus,155,91711,BEV
2015,Los Angeles,BEV,Honda,Fit EV,8,91724,BEV
2015,Los Angeles,BEV,Kia,Soul EV,190,91729,BEV
2015,Los Angeles,BEV,Mercedes-Benz,B-Class,449,91730,BEV
2015,Los Angeles,BEV,Mitsubishi,i-MiEV,7,91731,BEV
2015,Los Angeles,BEV,Nissan,Leaf,685,91732,BEV
2015,Los Angeles,BEV,Smart,Fortwo BEV Drive,168,91733,BEV
2015,Los Angeles,BEV,Tesla,Model S,3196,91737,BEV
2015,Los Angeles,BEV,Tesla,Model X,1,91739,BEV
2015,Los Angeles,BEV,Toyota,RAV4 EV,18,91740,BEV
2015,Los Angeles,BEV,Volkswagen,e-Golf,644,91741,BEV
2015,Los Angeles,PHEV,BMW,i3 REx,1436,91744,BEV
2015,Los Angeles,PHEV,BMW,i8,171,91745,BEV
2015,Los Angeles,PHEV,BMW,X5,33,91748,BEV
2015,Los Angeles,PHEV,Cadillac,ELR,44,91750,BEV
2015,Los Angeles,PHEV,Chevrolet,Volt,2359,91752,BEV
2015,Los Angeles,PHEV,Fisker,Karma,2,91754,BEV
2015,Los Angeles,PHEV,Ford,C-MAX Energi,784,91761,BEV
2015,Los Angeles,PHEV,Ford,Fusion Energi,1166,91762,BEV
2015,Los Angeles,PHEV,Honda,Accord PHEV,23,91764,BEV
2015,Los Angeles,PHEV,Hyundai,Sonata PHEV,10,91765,BEV
2015,Los Angeles,PHEV,McLaren,P1,3,91767,BEV
2015,Los Angeles,PHEV,Mercedes-Benz,S-Class,28,91770,BEV
2015,Los Angeles,PHEV,Porsche,918 Spyder,9,91773,BEV
2015,Los Angeles,PHEV,Porsche,Cayenne,99,91775,BEV
2015,Los Angeles,PHEV,Porsche,Panamera,39,91780,BEV
2015,Los Angeles,PHEV,Toyota,Prius PHEV,1328,91784,BEV
2015,Los Angeles,FCEV,Hyundai,Tucson Fuel Cell,21,91786,BEV
2015,Los Angeles,FCEV,Toyota,Mirai,43,91789,BEV
2015,Madera,BEV,Chevrolet,Spark EV,16,91790,BEV
2015,Madera,BEV,FIAT,500e,12,91791,BEV
2015,Madera,BEV,Ford,Focus,1,91801,BEV
2015,Madera,BEV,Kia,Soul EV,2,91901,BEV
2015,Madera,BEV,Nissan,Leaf,6,91902,BEV
