County,Incentive Type,EV Type,Max Amount,Requirements,Low Income,Customer,One-time Use,Program Name or Provider,Start Date,End Date
Placer,Rebate,PHEV,300,Yes,No,Yes,Yes,Roseville Electric Utility,,1/1/3000
Placer,Rebate,PHEV,700,Yes,Yes,Yes,Yes,Roseville Electric Utility,,1/1/3000
Placer,Rebate,EV charger,250,Yes,Yes,Yes,Yes,Roseville Electric Utility,,1/1/3000
Plumas,Rebate,BEV,500,Yes,No,Yes,Yes,Plumas-Sierra Rural Electric Cooperative,1/1/2019,1/1/3000
Plumas,Rebate,PHEV,500,Yes,No,Yes,Yes,Plumas-Sierra Rural Electric Cooperative,1/1/2019,1/1/3000
Riverside,Rebate,BEV,500,Yes,No,Yes,Yes,Riverside Public Utilities Department,7/1/2021,1/1/3000
Riverside,Rebate,FCEV,500,Yes,No,Yes,Yes,Riverside Public Utilities Department,7/1/2021,1/1/3000
Riverside,Rebate,NEV,250,Yes,No,Yes,Yes,Riverside Public Utilities Department,7/1/2021,1/1/3000
Riverside,Rebate,EM,250,Yes,No,Yes,Yes,Riverside Public Utilities Department,7/1/2021,1/1/3000
Riverside,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Riverside,Rebate,Any,1000,Yes,No,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,1/1/3000
Riverside,Rebate,Any,3000,Yes,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,1/1/3000
Riverside,Rebate,EV charger,250,No,No,Yes,Yes,South Coast Air Quality Management District,12/10/2021,1/1/3000
Riverside,Rebate,EV charger,250,Yes,Yes,Yes,No,South Coast Air Quality Management District,12/10/2021,1/1/3000
Sacramento,Grant,Any,5000,Yes,Yes,No,Yes,CHDC Vehicle Financing,1/1/2015,1/1/3000
Sacramento,Free charging,BEV,16,Yes,No,No,No,City of Sacramento,10/1/2014,1/1/3000
San Bernardino,Rebate,Any,1000,Yes,No,Yes,Yes,Colton Electric Utility,,1/1/3000
San Bernardino,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
San Bernardino,Rebate,Any,1000,Yes,No,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,1/1/3000
San Bernardino,Rebate,Any,3000,Yes,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,1/1/3000
San Bernardino,Rebate,EV charger,250,No,No,Yes,Yes,South Coast Air Quality Management District,12/10/2021,1/1/3000
San Bernardino,Rebate,EV charger,250,Yes,Yes,Yes,No,South Coast Air Quality Management District,12/10/2021,1/1/3000
San Bernardino,Rebate,EV charger,500,Yes,No,Yes,Yes,Colton Electric Utility,,1/1/3000
San Francisco,Grant,Any,9500,Yes,Yes,No,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
San Francisco,Grant,Any,5000,Yes,Yes,No,Yes,CHDC Vehicle Financing,1/1/2015,1/1/3000
San Francisco,Toll discount,CAV,7,Yes,No,No,No,California Air Resources Board,1/1/2019,1/1/3000
San Joaquin,Rebate,BEV,3000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
San Joaquin,Rebate,FCEV,3000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
San Joaquin,Rebate,PHEV,2500,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
San Joaquin,Rebate,PZEV,2000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
San Joaquin,Rebate,SULEV,1500,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
San Joaquin,Grant,Any,9500,Yes,Yes,No,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
San Mateo,Grant,Any,9500,Yes,Yes,No,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
San Mateo,Grant,Any,5000,Yes,Yes,No,Yes,CHDC Vehicle Financing,1/1/2015,1/1/3000
San Mateo,Toll discount,CAV,7,Yes,No,No,No,California Air Resources Board,1/1/2019,1/1/3000
San Mateo,Rebate,PHEV,700,No,No,Yes,Yes,Peninsula Clean Energy,8/1/2021,1/1/3000
San Mateo,Rebate,PHEV,5000,Yes,Yes,Yes,Yes,Peninsula Clean Energy,3/1/2019,1/1/3000
San Mateo,Rebate,BEV,1000,No,No,Yes,Yes,Peninsula Clean Energy,8/1/2021,1/1/3000
San Mateo,Rebate,BEV,5000,Yes,Yes,Yes,Yes,Peninsula Clean Energy,3/1/2019,1/1/3000
Santa Clara,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Santa Clara,Grant,Any,5000,Yes,Yes,No,Yes,CHDC Vehicle Financing,1/1/2015,1/1/3000
Santa Clara,Toll discount,CAV,7,Yes,No,No,No,California Air Resources Board,1/1/2019,1/1/3000
Santa Clara,Rebate,EV charger,550,Yes,No,Yes,No,Silicon Valley Power,1/1/2019,1/1/3000
Santa Cruz,Grant,Any,5000,Yes,Yes,No,Yes,CHDC Vehicle Financing,1/1/2015,1/1/3000
ShastaÂ ,Rebate,BEV,1000,Yes,No,Yes,No,Redding Electric Utility,1/1/2019,1/1/3000
ShastaÂ ,Rebate,PHEV,1000,Yes,No,Yes,No,Redding Electric Utility,1/1/2019,1/1/3000
ShastaÂ ,Rebate,EV charger,1500,Yes,No,Yes,No,Redding Electric Utility,1/1/2019,1/1/3000
Sierra,Rebate,BEV,500,Yes,No,Yes,Yes,Plumas-Sierra Rural Electric Cooperative,1/1/2019,1/1/3000
Sierra,Rebate,PHEV,500,Yes,No,Yes,Yes,Plumas-Sierra Rural Electric Cooperative,1/1/2019,1/1/3000
Solano,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Solano,Grant,Any,5000,Yes,Yes,No,Yes,CHDC Vehicle Financing,1/1/2015,1/1/3000
Solano,Toll discount,CAV,7,Yes,No,No,No,California Air Resources Board,1/1/2019,1/1/3000
Solano,Rebate,EV charger,600,Yes,No,Yes,Yes,Island Energy,7/1/2015,1/1/3000
Sonoma,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Sonoma,Grant,Any,5000,Yes,Yes,No,Yes,CHDC Vehicle Financing,1/1/2015,1/1/3000
Sonoma,Rebate,EV charger,1000,Yes,No,Yes,Yes,Sonoma Clean Power,8/1/2017,1/1/3000
Sonoma,Toll discount,CAV,7,Yes,No,No,No,California Air Resources Board,1/1/2019,1/1/3000
Stanislaus,Rebate,BEV,3000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Stanislaus,Rebate,FCEV,3000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Stanislaus,Rebate,PHEV,2500,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Stanislaus,Rebate,PZEV,2000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Stanislaus,Rebate,SULEV,1500,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Stanislaus,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Stanislaus,Rebate,Any,500,No,No,Yes,No,Turlock Irrigation District,1/1/2019,1/1/3000
Stanislaus,Rebate,Any,700,Yes,Yes,Yes,No,Turlock Irrigation District,1/1/2019,1/1/3000
Stanislaus,Rebate,EV charger,300,No,No,Yes,No,Turlock Irrigation District,1/1/2019,1/1/3000
Stanislaus,Rebate,EV charger,100,Yes,Yes,Yes,No,Turlock Irrigation District,1/1/2019,1/1/3000
Stanislaus,Rebate,EV charger,500,Yes,No,Yes,Yes,Modesto Irrigation District,1/1/2019,1/1/3000
Trinity,Rebate,EV charger,500,Yes,No,Yes,Yes,Trinity P.U.D.,,1/1/3000
Tulare,Rebate,BEV,3000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Tulare,Rebate,FCEV,3000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Tulare,Rebate,PHEV,2500,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Tulare,Rebate,PZEV,2000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Tulare,Rebate,SULEV,1500,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Tulare,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Tulare,Rebate,Any,1000,Yes,No,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,1/1/3000
Tulare,Rebate,Any,3000,Yes,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,1/1/3000
Ventura,Rebate,Any,1000,Yes,No,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,1/1/3000
Ventura,Rebate,Any,3000,Yes,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,1/1/3000
Washoe,Rebate,BEV,500,Yes,No,Yes,Yes,Plumas-Sierra Rural Electric Cooperative,1/1/2019,1/1/3000
Washoe,Rebate,PHEV,500,Yes,No,Yes,Yes,Plumas-Sierra Rural Electric Cooperative,1/1/2019,1/1/3000
Yolo,Grant,Any,5000,Yes,Yes,No,Yes,CHDC Vehicle Financing,1/1/2015,1/1/3000
